"Address","Status Code","Title 1","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/orchard-house-3-bedrooms/","200","Norfolk Holiday Cottage to rent in Burnham Market - Orchard House 3 bedrooms","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/heron-cottage/","200","Norfolk Holiday Cottage to rent in Thornham - Heron Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washington-beach-house/","200","Norfolk Holiday Cottage to rent in Heacham - Washington Beach House","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sea-lavender-house/","200","Norfolk Holiday Cottage to rent in Brancaster - Sea Lavender House","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/old-mill-cottage/","200","Norfolk Holiday Cottage to rent in Binham - Old Mill Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/marshview-cottage/","200","Norfolk Holiday Cottage to rent in Brancaster Staithe - Marshview Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/cherry-house/","200","Norfolk Holiday Cottage to rent in Thornham - Cherry House","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washington-beach-house-with-lodge/","200","Norfolk Holiday Cottage to rent in Heacham - Washington Beach House with Lodge","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-meadows/","200","Norfolk Holiday Cottage to rent in Holme-next-the-Sea - The Meadows","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hillcrest-barn/","200","Norfolk Holiday Cottage to rent in Burnham Market - Hillcrest Barn","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-cartshed-6-marshland-barns/","200","Norfolk Holiday Cottage to rent in Titchwell - The Cartshed 6 Marshland Barns","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/old-mill-and-cottage/","200","Norfolk Holiday Cottage to rent in Binham - Old Mill and Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/burnham-loft/","200","Norfolk Holiday Cottage to rent in Burnham Market - Burnham Loft","Indexable",""
