"Site Crawled","https://www.sowerbysholidaycottages.co.uk/"
"Start Date","2026-05-08"
"Start Time","14:17:02"
"Last Modified Date","2026-05-08"
"Last Modified Time","14:18:42"
"Elapsed","00:01:40"
"Report Date","2026-05-08"
"Report Time","14:30:55"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"URLs in Sitemap","0","0.00%","355","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","355","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","355","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","355","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","355","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","355","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","355","Internal HTML/XML pages"
""
"PageSpeed"
"All","353","100.00%","353","Internal HTML URLs with 2xx response"
"Document Request Latency","0","0.00%","353","Internal HTML URLs with 2xx response"
"LCP Request Discovery","0","0.00%","353","Internal HTML URLs with 2xx response"
"Render Blocking Requests","0","0.00%","353","Internal HTML URLs with 2xx response"
"Network Dependency Tree","0","0.00%","353","Internal HTML URLs with 2xx response"
"Use Efficient Cache Lifetimes","0","0.00%","353","Internal HTML URLs with 2xx response"
"Layout Shift Culprits","0","0.00%","353","Internal HTML URLs with 2xx response"
"Optimize DOM Size","0","0.00%","353","Internal HTML URLs with 2xx response"
"Improve Image Delivery","0","0.00%","353","Internal HTML URLs with 2xx response"
"Forced Reflow","0","0.00%","353","Internal HTML URLs with 2xx response"
"Legacy JavaScript","0","0.00%","353","Internal HTML URLs with 2xx response"
"Duplicated JavaScript","0","0.00%","353","Internal HTML URLs with 2xx response"
"Font Display","0","0.00%","353","Internal HTML URLs with 2xx response"
"Avoid Enormous Network Payloads","0","0.00%","353","Internal HTML URLs with 2xx response"
"Minify CSS","0","0.00%","353","Internal HTML URLs with 2xx response"
"Minify JavaScript","0","0.00%","353","Internal HTML URLs with 2xx response"
"Reduce Unused CSS","0","0.00%","353","Internal HTML URLs with 2xx response"
"Reduce Unused JavaScript","0","0.00%","353","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","0","0.00%","353","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","0","0.00%","353","Internal HTML URLs with 2xx response"
"Request Errors","0","0.00%","353","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","353","100.00%","353",""
"Viewport Not Set","0","0.00%","353",""
"Target Size","0","0.00%","353",""
"Content Not Sized Correctly","0","0.00%","353",""
"Illegible Font Size","0","0.00%","353",""
"Contains Unsupported Plugins","0","0.00%","353",""
"Mobile Alternate Link","0","0.00%","353",""
""
"Accessibility"
"All","353","100.00%","353",""
"Accessibility Score Poor","0","0.00%","353",""
"Accessibility Score Needs Improvement","0","0.00%","353",""
"Accessibility Score Good","0","0.00%","353",""
"WCAG 2.0 A Violation","0","0.00%","353",""
"WCAG 2.0 AA Violation","0","0.00%","353",""
"WCAG 2.0 AAA Violation","0","0.00%","353",""
"WCAG 2.1 AA Violation","0","0.00%","353",""
"WCAG 2.2 AA Violation","0","0.00%","353",""
"Best Practice Violation","0","0.00%","353",""
"Accesskey Attribute Value Must Be Unique","0","0.00%","353",""
"Ensure Elements Marked Presentational Are Ignored","0","0.00%","353",""
"Elements Must Not Have Tabindex Greater Than Zero","0","0.00%","353",""
"Scrollable Region Requires Keyboard Access","0","0.00%","353",""
"Skip-link Target Should Exist & Be Focusable","0","0.00%","353",""
"Required ARIA Attributes Must Be Provided","0","0.00%","353",""
"Role=text Should Have No Focusable Descendants","0","0.00%","353",""
"ARIA Attribute Must Be Used As Specified For Role","0","0.00%","353",""
"ARIA Attributes Require Valid Values","0","0.00%","353",""
"ARIA Attributes Require Valid Names","0","0.00%","353",""
