"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres-2-bedrooms/","Indexable","","2","","26","6","0","1.700","41","32","0","38","38","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mallards/","Indexable","","2","","29","7","0","1.980","41","32","0","39","39","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-manor-farm-barns-3-bedrooms/","Indexable","","2","","19","5","0","1.420","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/tarnside/","Indexable","","2","","32","8","0","2.270","41","32","0","33","33","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aspall-escape/","Indexable","","2","","29","7","0","1.980","41","32","0","22","22","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hope-cottage/","Indexable","","2","","39","9","0","2.550","41","32","0","28","28","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/old-mill/","Indexable","","2","","26","6","0","1.700","41","32","0","46","46","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/scotts-cottage-4-bedrooms/","Indexable","","2","","36","8","0","2.270","41","32","0","34","34","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/amber-cottage/","Indexable","","2","","26","6","0","1.700","41","32","0","35","35","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mallards-2-bedrooms/","Indexable","","2","","29","7","0","1.980","41","32","0","40","40","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/cockleshed-house/","Indexable","","2","","26","6","0","1.700","41","32","0","36","36","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/salt-marsh/","Indexable","","2","","36","8","0","2.270","41","32","0","38","38","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/louisa-barn/","Indexable","","2","","26","6","0","1.700","41","32","0","37","37","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/olives-cottage/","Indexable","","2","","26","6","0","1.700","41","32","0","36","36","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-cartshed-6-marshland-barns-2-bedrooms/","Indexable","","2","","36","8","0","2.270","41","32","0","37","37","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/basils-barn/","Indexable","","2","","29","7","0","1.980","41","32","0","38","38","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/school-pastures-6-bedrooms/","Indexable","","2","","36","8","0","2.270","41","32","0","53","53","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/bell-view-cottage/","Indexable","","2","","22","6","0","1.700","41","32","0","34","34","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/greystones/","Indexable","","2","","43","9","0","2.550","41","32","0","44","44","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-manor-farm-barns-2-bedrooms/","Indexable","","2","","16","4","0","1.130","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/orchard-house-5-bedrooms/","Indexable","","2","","33","7","0","1.980","41","32","0","51","51","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-smithy/","Indexable","","2","","29","7","0","1.980","41","32","0","23","23","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-lamp-house/","Indexable","","2","","29","7","0","1.980","41","32","0","33","33","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beacon-hill-barn/","Indexable","","2","","43","9","0","2.550","41","32","0","54","54","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/seaborne-penthouse/","Indexable","","2","","29","7","0","1.980","41","32","0","38","38","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/oystercatchers/","Indexable","","2","","19","5","0","1.420","41","32","0","25","25","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-saltings/","Indexable","","2","","43","9","0","2.550","41","32","0","42","42","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sail-away/","Indexable","","2","","39","9","0","2.550","41","32","0","24","24","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/peewits-penthouse/","Indexable","","2","","29","7","0","1.980","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/heronsway/","Indexable","","2","","32","8","0","2.270","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/slumber-barn-3-bedrooms/","Indexable","","2","","29","7","0","1.980","41","32","0","38","38","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/blackbird-barn/","Indexable","","2","","36","8","0","2.270","41","32","0","40","40","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/driftwood/","Indexable","","2","","29","7","0","1.980","41","32","0","36","36","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/scotts-cottage-6-bedrooms/","Indexable","","2","","43","9","0","2.550","41","32","0","37","37","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/cobblestone-cottage/","Indexable","","2","","26","6","0","1.700","41","32","0","32","32","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/allerdale-house/","Indexable","","2","","19","5","0","1.420","41","32","0","35","35","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/school-pastures-4-bedrooms/","Indexable","","2","","29","7","0","1.980","41","32","0","48","48","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/spring-cottage/","Indexable","","2","","19","5","0","1.420","41","32","0","38","38","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/stearmans-cottage/","Indexable","","2","","23","5","0","1.420","41","32","0","41","41","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/tides/","Indexable","","2","","39","9","0","2.550","41","32","0","28","28","0"
